CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1613090114421.0,Alameda,San Lorenzo Unified,KIPP King Collegiate High,San Lorenzo,Y,N,N,37.674319,-122.15009,Y,0.686,0.0,0.1184433164128595,0.0033840947546531,0.0236886632825719,0.2267343485617597,0.0693739424703891,0.0338409475465313,0.0016920473773265,0.1065989847715736,0.0016920473773265,0.0135363790186125,0.2673434856175973,0.0913705583756345,0.0253807106598984
1613090130849.0,Alameda,San Lorenzo Unified,Arroyo High,San Lorenzo,N,N,N,37.680810,-122.13836,Y,0.497,0.0033707865168539,0.096629213483146,0.0067415730337078,0.0595505617977528,0.2241573033707865,0.0325842696629213,0.0657303370786516,0.0011235955056179,0.1044943820224719,0.0073033707865168,0.0657303370786516,0.2157303370786517,0.0421348314606741,0.0522471910112359
1613090137745.0,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),Hayward,N,N,N,37.668976,-122.11506,Y,0.586,0.0,0.0222222222222222,0.0,0.0148148148148148,0.4074074074074074,0.1333333333333333,0.0888888888888888,0.0,0.0074074074074074,0.0,0.0074074074074074,0.2148148148148148,0.0814814814814814,0.0148148148148148
1613090137810.0,Alameda,San Lorenzo Unified,San Lorenzo High,San Lorenzo,N,N,N,37.686688,-122.12256,Y,0.771,0.0,0.0444763271162123,0.0078909612625538,0.0215208034433285,0.3127690100430416,0.0832137733142037,0.0408895265423242,0.0007173601147776,0.033715925394548,0.0064562410329985,0.0344332855093256,0.3005738880918221,0.073170731707317,0.0251076040172166
1740050195016.0,Alameda,Tri-Valley ROP,Tri-Valley ROP,Livermore,N,N,N,37.669078,-121.77403,Y,0.0,,,,,,,,,,,,,,
1740130195024.0,Alameda,Eden Area ROP,Eden Area ROP,Hayward,N,N,N,37.634543,-122.09874,Y,0.0,,,,,,,,,,,,,,
1740210195032.0,Alameda,Mission Valley ROC/P,Mission Valley ROCP,Fremont,N,N,N,37.527997,-121.98347,Y,0.0,,,,,,,,,,,,,,
1750930132704.0,Alameda,Dublin Unified,Dublin High,Dublin,N,N,N,37.720996,-121.92639,Y,0.0873,0.0004001600640256,0.1832733093237294,0.0016006402561024,0.0428171268507402,0.070828331332533,0.0244097639055622,0.1432573029211684,0.0004001600640256,0.1804721888755502,0.002000800320128,0.0332132853141256,0.0712284913965586,0.023609443777511,0.1340536214485794
1750930138164.0,Alameda,Dublin Unified,Dublin Unified Transition Program,Dublin,N,N,N,37.709575,-121.92108,Y,0.0,,,,,,,,,,,,,,
1750930138453.0,Alameda,Dublin Unified,Valley High (Continuation),Dublin,N,N,N,37.720977,-121.92164,Y,0.255,0.0,0.0555555555555555,0.0,0.0138888888888888,0.1388888888888889,0.0972222222222222,0.1944444444444444,0.0,0.0277777777777777,0.0,0.0,0.1944444444444444,0.0416666666666666,0.125
1751010130096.0,Alameda,Pleasanton Unified,Foothill High,Pleasanton,N,Y,N,37.671579,-121.91994,Y,0.05,0.0013966480446927,0.2011173184357542,0.0013966480446927,0.0162942271880819,0.0456238361266294,0.0107076350093109,0.2323091247672253,0.0018621973929236,0.1573556797020484,0.0018621973929236,0.0172253258845437,0.0460893854748603,0.0088454376163873,0.2267225325884543
1751010130252.0,Alameda,Pleasanton Unified,Village High,Pleasanton,N,Y,N,37.655190,-121.87514,Y,0.321,0.0,0.0198019801980198,0.0396039603960396,0.0099009900990099,0.0891089108910891,0.0198019801980198,0.297029702970297,0.0,0.0099009900990099,0.0,0.0,0.1782178217821782,0.0297029702970297,0.2574257425742574
1751010130583.0,Alameda,Pleasanton Unified,Amador Valley High,Pleasanton,N,Y,N,37.668296,-121.87327,Y,0.0588,0.0015105740181268,0.1831570996978851,0.0007552870090634,0.0117069486404833,0.04607250755287,0.0086858006042296,0.2462235649546827,0.0011329305135951,0.1661631419939577,0.0011329305135951,0.0109516616314199,0.0490936555891238,0.0064199395770392,0.2401812688821752
1771800138289.0,Alameda,SBE - Latitude 37.8 High,Latitude 37.8 High,Oakland,Y,N,N,37.777138,-122.23001,Y,0.75,,,,,,,,,,,,,,
2100250230011.0,Alpine,Alpine County Office of Education,Alpine County Opportunity,Markleeville,N,Y,N,38.766195,-119.80692,Y,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2613330230029.0,Alpine,Alpine County Unified,Alpine County Secondary Community Day,Markleeville,N,Y,N,38.766357,-119.80885,Y,0.0,,,,,,,,,,,,,,
3100330330035.0,Amador,Amador County Office of Education,County Community,Sutter Creek,N,N,N,38.377473,-120.80822,Y,0.556,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.25
3100330330068.0,Amador,Amador County Office of Education,Amador County Special Education,Jackson,N,N,N,38.352665,-120.77703,Y,0.745,0.0460526315789473,0.0,0.0,0.0,0.1710526315789473,0.0,0.375,0.006578947368421,0.0,0.0,0.0,0.1118421052631579,0.0,0.2039473684210526
3739810330019.0,Amador,Amador County Unified,Independence High (Continuation),Sutter Creek,N,N,N,38.377737,-120.80852,Y,0.837,0.0434782608695652,0.0,0.0,0.0,0.1304347826086956,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,0.0217391304347826,0.0217391304347826,0.1521739130434782
3739810330050.0,Amador,Amador County Unified,North Star Academy,Sutter Creek,N,N,N,38.377737,-120.80852,Y,0.541,0.0441176470588235,0.0,0.0,0.0147058823529411,0.0441176470588235,0.0,0.3382352941176471,0.0294117647058823,0.0,0.0,0.0,0.1764705882352941,0.0,0.2941176470588235
3739810330753.0,Amador,Amador County Unified,Amador High,Sutter Creek,N,N,N,38.398775,-120.80970,Y,0.391,0.0089820359281437,0.0029940119760479,0.0,0.0014970059880239,0.0778443113772455,0.0014970059880239,0.3517964071856287,0.0119760479041916,0.0044910179640718,0.0014970059880239,0.0029940119760479,0.0973053892215568,0.0,0.3607784431137724
